filename,title,description,category,type,date,location,source,tags,note,related
scan1.jpg,le nain rouge patch,fabled detroit creature said to bring misfortune to white settlers in the area,folklore,patch,,"Detroit, MI",City Bird in Cass Corridor,detroit|city bird|patch|sticker|creatures|folklore,A little talisman from Detroit mythology. It feels like both a warning and a souvenir.,scan215.jpg|scan216.jpg|scan120.jpg|scan46.jpg|scan45.jpg
scan2.jpg,MTA MARC ticket,"baltimore to washington, d.c. train ticket from 2021",transit,ticket,summer 2021,"Baltimore, MD / Washington, DC",,baltimore|travel|ticket|washington dc|transit,from a trip to meet a friend for dinner and drinks,scan68.webp|scan170.jpg|scan208.jpg|scan137.jpg|scan135.jpg
scan3.jpg,open gesture of an i by d.a. powell,poem from a 2019 issue of the new yorker magazine,literature,poem,2019,,The New Yorker,the new yorker|poetry|poem|literature,this poem lives on my wall permanently,scan27.jpg|scan52.jpg|scan119.jpg|scan57.jpg|scan132.jpg
scan4.jpg,GQ style profile,kurt cobain's 2021 GQ style profile,music,magazine clipping,2021,,GQ,music|collage|fashion,an ode to a high school favorite,scan104.jpg|scan111.jpg|scan18.jpg|scan62.jpg|scan15.jpg
scan5.jpg,learn spanish with bazooka joe,cómic educativo de Bazooka Joe,ephemera,comic,,,Bazooka Joe,cartoon|bazooka joe|language,que bueno,scan141.jpg|scan156.jpg|scan27.jpg|scan127.jpg|scan139.jpg
scan6.jpg,collage materials,various body parts,art material,collage material,,,,collage|collage material|art material|body|materials,fragments waiting to become something else,scan14.jpg|scan149.jpg|scan15.jpg|scan203.jpg|scan104.jpg
scan7.jpg,schlagenheim sticker,from the plastic sleeve of black midi's 2019 album schlagenheim,music,sticker,2019,The Basement East,"black midi, Schlagenheim",music|sticker|black midi|album,"a remnant from the packaging, the packaging became the object",scan164.jpg|scan169.jpg|scan121.jpg|scan104.jpg|scan70.jpg
scan8.jpg,3d glasses,from the belcourt's summer 2023 showing of 'Creature from the Black Lagoon' in 3D,film,glasses,summer 2023,"Nashville, TN",The Belcourt,belcourt|nashville|film|creatures|glasses|3d,Evidence of watching a monster movie the old-fashioned way.,scan181.jpg|scan38.jpg|scan180.jpg|scan191.jpg|scan171.jpg
scan9.jpg,darkrai pokémon card,found at a halloween party,game,trading card,halloween 2024,"Nashville, TN",,nashville|postcard|trading card|game|pokemon|halloween,,scan92.jpg|scan96.jpg|scan127.jpg|scan181.jpg|scan64.jpg
scan10.jpg,vigilante coffee bag,"the front panel of a paper bag from a hyattsville, md coffee shop",packaging,coffee bag,,"Hyattsville, MD",Vigilante Coffee,food|coffee bag|packaging|coffee|hyattsville|maryland,,scan39.webp|scan170.jpg|scan129.webp|scan147.jpg|scan148.jpg
scan11.jpg,hand wipe,"from rendezvous bbq in memphis, tn",restaurant,wrapper,september 2023,"Memphis, TN",Rendezvous BBQ,memphis|food|wrapper|bbq,I received a job offer after a month of searching while at this restaurant,scan65.jpg|scan143.jpg|scan77.jpg|scan10.jpg|scan161.jpg
scan12.jpg,some butterflies' by jack goldstein,postcard from c/o berlin,art,postcard,september 2024,"Berlin, DE",C/O Berlin,c/o berlin|berlin|postcard|art,i love butterflies,scan54.jpg|scan115.jpg|scan152.webp|scan153.jpg|scan166.jpg
scan13.jpg,crushin' beers at lakeside,Lakeside Lounge coaster,ephemera,button,fall 2023,"Nashville, TN",Lakeside Lounge,nashville|sticker|humor|souvenir|button|beer,iykyk,scan39.webp|scan127.jpg|scan129.webp|scan155.jpg|scan170.jpg
scan14.jpg,enormous bra found,collage page assembled from magazine and zine fragments,print,zine collage,,,,collage|handmade|humor|zine collage|zine|spirit,bat shit crazy,scan15.jpg|scan16.jpg|scan34.jpg|scan118.jpg|scan19.webp
scan15.jpg,soup for the soul,more collage materials,print,collage page,,,,music|typography|collage|feelings|handmade|collage page,,scan17.jpg|scan16.jpg|scan19.webp|scan203.jpg|scan28.jpg
scan16.jpg,revolutionary crush,even more collage materials,print,collage page,,,,collage|politics|handmade|collage page|mushroom|revolution,,scan15.jpg|scan17.jpg|scan34.jpg|scan28.jpg|scan106.jpg
scan17.jpg,vitality greens daily,cool typography,print,collage page,,,,typography|collage|handmade|collage page|advertisement|health,,scan15.jpg|scan16.jpg|scan203.jpg|scan202.jpg|scan20.webp
scan18.jpg,society's most loathsome ideas,from the 2021 GQ profile on Viagra Boys,print,text clipping,,,GQ,poetry|collage|handmade|text clipping|quote|typewriter,,scan19.webp|scan21.webp|scan23.webp|scan26.jpg|scan28.jpg
scan19.webp,who let you in here?,i fucking let myself in,print,text clipping,,,,poetry|collage|feelings|humor|handmade|text clipping,i mean...yeah,scan18.jpg|scan21.webp|scan118.jpg|scan123.jpg|scan42.jpg
scan20.webp,chaos,chaos egg,print,text fragment,,,,typography|handmade|text fragment|chaos|minimalism|black,,scan19.webp|scan17.jpg|scan33.jpg|scan200.jpg|scan202.jpg
scan21.webp,communism happens,,print,text clipping,,,,collage|politics|humor|handmade|text clipping|communism,red scare propaganda,scan23.webp|scan19.webp|scan18.jpg|scan22.jpg|scan28.jpg
scan22.jpg,lighting the fuse,collage bits,print,illustration clipping,,,,collage|politics|handmade|illustration clipping|match|flag,,scan32.jpg|scan23.webp|scan24.jpg|scan28.jpg|scan34.jpg
scan23.webp,resist!,,print,text clipping,,,,typography|collage|politics|handmade|text clipping|resist,may i offer you a nice egg in this trying time,scan21.webp|scan28.jpg|scan18.jpg|scan106.jpg|scan22.jpg
scan24.jpg,resistance to tyranny,is obedience to god,print,magazine clipping,,,The New Yorker,the new yorker|collage|politics|handmade|suffrage|protest,hell yeah!!!,scan119.jpg|scan27.jpg|scan156.jpg|scan28.jpg|scan23.webp
scan25.jpg,garden family delivery,ripped bit of a Garden Family advertisement,ephemera,sticker,,"Nashville, TN",Garden Family,nashville|sticker|politics|cannabis|local business|qr code,,scan37.jpg|scan162.jpg|scan168.webp|scan170.jpg|scan106.jpg
scan26.jpg,samuel butler quote,,print,quotation clipping,,,Samuel Butler,poetry|collage|handmade|space|quotation clipping|moon,this makes me giggle,scan205.webp|scan18.jpg|scan217.jpg|scan19.webp|scan203.jpg
scan27.jpg,the label wins,cartoon by William Haefeli,print,cartoon clipping,september 2019,,The New Yorker,the new yorker|collage|cartoon|humor|handmade|beer,,scan52.jpg|scan156.jpg|scan119.jpg|scan29.jpg|scan24.jpg
scan28.jpg,another world is possible,grace lee boggs quote,print,poster clipping,,,,poetry|typography|collage|politics|handmade|poster clipping,good reminder,scan23.webp|scan22.jpg|scan24.jpg|scan106.jpg|scan34.jpg
scan29.jpg,monster island,,print,cartoon clipping,,,,collage|cartoon|humor|handmade|godzilla|monsters,,scan27.jpg|scan156.jpg|scan52.jpg|scan32.jpg|scan19.webp
